# Matter power spectrum P(k) at redshift z=0
# for k=1.04684e-05 to 1.49786 h/Mpc,
# number of wavenumbers equal to 525
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.355833765715e-02       2.432978479362e+04 
       1.368776783776e-02       2.437320788842e+04 
       1.381723438115e-02       2.441451181656e+04 
       1.394673740582e-02       2.445374310859e+04 
       1.407627705326e-02       2.449087012583e+04 
       1.420585348759e-02       2.452595472842e+04 
       1.433546689523e-02       2.455899410707e+04 
       1.446511748463e-02       2.458992568198e+04 
       1.459480548595e-02       2.461900302976e+04 
       1.472453115090e-02       2.464605216260e+04 
       1.485429475248e-02       2.467123476328e+04 
       1.498409658484e-02       2.469453922145e+04 
       1.511393696312e-02       2.471587365564e+04 
       1.524381622332e-02       2.473537548368e+04 
       1.537373472222e-02       2.475306278256e+04 
       1.550369283729e-02       2.476894225230e+04 
       1.563369096668e-02       2.478306574438e+04 
       1.576372952911e-02       2.479545211876e+04 
       1.589380896397e-02       2.480597956942e+04 
       1.602392973125e-02       2.481484955949e+04 
       1.615409231161e-02       2.482202353343e+04 
       1.628429720645e-02       2.482755358569e+04 
       1.641454493795e-02       2.483149530501e+04 
       1.654483604919e-02       2.483366539931e+04 
       1.667517110425e-02       2.483437321397e+04 
       1.680555068835e-02       2.483242465613e+04 
       1.693597540797e-02       2.483081988667e+04 
       1.706644589107e-02       2.482603728101e+04 
       1.719696278722e-02       2.482120597941e+04 
       1.732752676783e-02       2.481325494993e+04 
       1.745813852635e-02       2.480563289200e+04 
       1.758879877852e-02       2.479566895831e+04 
       1.771950826263e-02       2.478430731151e+04 
       1.785026773973e-02       2.477145367120e+04 
       1.798107799400e-02       2.475675845361e+04 
       1.811193983298e-02       2.474087041380e+04 
       1.824285408792e-02       2.472378460776e+04 
       1.837382161413e-02       2.470570924640e+04 
       1.850484329127e-02       2.468692154108e+04 
       1.863592002380e-02       2.466604000846e+04 
       1.876705274130e-02       2.464255667757e+04 
       1.889824239889e-02       2.462038505933e+04 
       1.902948997766e-02       2.459588016099e+04 
       1.916079648512e-02       2.456931661692e+04 
       1.929216295559e-02       2.454173201190e+04 
       1.942359045077e-02       2.451428936214e+04 
       1.955508006012e-02       2.448541425681e+04 
       1.968663290148e-02       2.445381945621e+04 
       1.981825012149e-02       2.442317619747e+04 
       1.994993289621e-02       2.438977090976e+04 
       2.008168243169e-02       2.435660948748e+04 
       2.021349996447e-02       2.432118000223e+04 
       2.034538676230e-02       2.428584925679e+04 
       2.047734412467e-02       2.424899920993e+04 
       2.060937338351e-02       2.420996925362e+04 
       2.074147590386e-02       2.417195188552e+04 
       2.087365308451e-02       2.413132426770e+04 
       2.100590635878e-02       2.409114615168e+04 
       2.113823719520e-02       2.404928926315e+04 
       2.127064709831e-02       2.400570973475e+04 
       2.140313760942e-02       2.396192344439e+04 
       2.153571030742e-02       2.391825639200e+04 
       2.166836680964e-02       2.387200199857e+04 
       2.180110877266e-02       2.382577661639e+04 
       2.193393789327e-02       2.377865269435e+04 
       2.206685590930e-02       2.373069847651e+04 
       2.219986460063e-02       2.368186287682e+04 
       2.233296579017e-02       2.363219819321e+04 
       2.246616134478e-02       2.358194792202e+04 
       2.259945317641e-02       2.353077022192e+04 
       2.273284324311e-02       2.347964210459e+04 
       2.286633355014e-02       2.342629327016e+04 
       2.299992615110e-02       2.337364692212e+04 
       2.313362314912e-02       2.331893552599e+04 
       2.326742669807e-02       2.326420458771e+04 
       2.340133900379e-02       2.320884561045e+04 
       2.353536232536e-02       2.315289483691e+04 
       2.366949897648e-02       2.309617256461e+04 
       2.380375132678e-02       2.303877577326e+04 
       2.393812180328e-02       2.298124204532e+04 
       2.407261289180e-02       2.292212464158e+04 
       2.420722713852e-02       2.286314240303e+04 
       2.434196715146e-02       2.280353014216e+04 
       2.447683560216e-02       2.274375274159e+04 
       2.461183522726e-02       2.268276835091e+04 
       2.474696883025e-02       2.262074812898e+04 
       2.488223928324e-02       2.255959399933e+04 
       2.501764952876e-02       2.249711117346e+04 
       2.515320258161e-02       2.243350420096e+04 
       2.528890153088e-02       2.237079438177e+04 
       2.542474954189e-02       2.230648908873e+04 
       2.556074985830e-02       2.224228998458e+04 
       2.569690580423e-02       2.217717378207e+04 
       2.583322078649e-02       2.211207507647e+04 
       2.596969829688e-02       2.204638628508e+04 
       2.610634191455e-02       2.198024382649e+04 
       2.624315530844e-02       2.191380201799e+04 
       2.638014223984e-02       2.184707361993e+04 
       2.651730656499e-02       2.177961350012e+04 
       2.665465223784e-02       2.171205922713e+04 
       2.679218331281e-02       2.164404776546e+04 
       2.692990394772e-02       2.157571567000e+04 
       2.706781840682e-02       2.150752679640e+04 
       2.720593106394e-02       2.143815726924e+04 
       2.734424640564e-02       2.136894575808e+04 
       2.748276903465e-02       2.129938728895e+04 
       2.762150367334e-02       2.122940912246e+04 
       2.776045516726e-02       2.115955971669e+04 
       2.789962848899e-02       2.108881941689e+04 
       2.803902874191e-02       2.101857322221e+04 
       2.817866116432e-02       2.094735603458e+04 
       2.831853113357e-02       2.087618257700e+04 
       2.845864417041e-02       2.080508485583e+04 
       2.859900594353e-02       2.073290733146e+04 
       2.873962227420e-02       2.066104657226e+04 
       2.888049914118e-02       2.058900098255e+04 
       2.902164268576e-02       2.051674462261e+04 
       2.916305921703e-02       2.044445750804e+04 
       2.930475521734e-02       2.037150681598e+04 
       2.944673734804e-02       2.029869021524e+04 
       2.958901245535e-02       2.022568300915e+04 
       2.973158757658e-02       2.015249796203e+04 
       2.987446994652e-02       2.007961095549e+04 
       3.001766700418e-02       2.000573372405e+04 
       3.016118639972e-02       1.993214512351e+04 
       3.030503600178e-02       1.985843994019e+04 
       3.044922390502e-02       1.978459040800e+04 
       3.059375843807e-02       1.971060221417e+04 
       3.073864817176e-02       1.963651442129e+04 
       3.088390192779e-02       1.956275855500e+04 
       3.102952878768e-02       1.948809366642e+04 
       3.117553810225e-02       1.941373115650e+04 
       3.132193950140e-02       1.933930550355e+04 
       3.146874290441e-02       1.926508038649e+04 
       3.161595853073e-02       1.919045514048e+04 
       3.176359691120e-02       1.911579601498e+04 
       3.191166889985e-02       1.904082049727e+04 
       3.206018568627e-02       1.896608199480e+04 
       3.220915880849e-02       1.889142914222e+04 
       3.235860016661e-02       1.881650536267e+04 
       3.250852203697e-02       1.874158492396e+04 
       3.265893708706e-02       1.866665142273e+04 
       3.280985839123e-02       1.859186057138e+04 
       3.296129944711e-02       1.851670275819e+04 
       3.311327419288e-02       1.844175901767e+04 
       3.326579702544e-02       1.836685616793e+04 
       3.341888281952e-02       1.829182526074e+04 
       3.357254694779e-02       1.821683010264e+04 
       3.372680530199e-02       1.814179826771e+04 
       3.388167431526e-02       1.806662443602e+04 
       3.403717098562e-02       1.799153464874e+04 
       3.419331290073e-02       1.791663387580e+04 
       3.435011826405e-02       1.784175009325e+04 
       3.450760592243e-02       1.776661807276e+04 
       3.466579539525e-02       1.769150175379e+04 
       3.482470690522e-02       1.761682050983e+04 
       3.498436141102e-02       1.754168090643e+04 
       3.514478064168e-02       1.746676967494e+04 
       3.530598713320e-02       1.739194847019e+04 
       3.546800426716e-02       1.731717494222e+04 
       3.563085631176e-02       1.724230686376e+04 
       3.579456846537e-02       1.716749906701e+04 
       3.595916690270e-02       1.709270979461e+04 
       3.612467882395e-02       1.701796559152e+04 
       3.629113250695e-02       1.694329964980e+04 
       3.645855736277e-02       1.686865513563e+04 
       3.662698399483e-02       1.679407690120e+04 
       3.679644426196e-02       1.671942890436e+04 
       3.696697134564e-02       1.664498663449e+04 
       3.713859982174e-02       1.657051647050e+04 
       3.731136573720e-02       1.649598608793e+04 
       3.748530669201e-02       1.642187878073e+04 
       3.766046192691e-02       1.634722661077e+04 
       3.783687241735e-02       1.627280088930e+04 
       3.801458097423e-02       1.619847454584e+04 
       3.819363235199e-02       1.612412829807e+04 
       3.837407336470e-02       1.604994482467e+04 
       3.855595301090e-02       1.597595784582e+04 
       3.873932260798e-02       1.590154579120e+04 
       3.892423593692e-02       1.582734641753e+04 
       3.911074939843e-02       1.575330375370e+04 
       3.929892218156e-02       1.567901998785e+04 
       3.948881644593e-02       1.560496396866e+04 
       3.968049751901e-02       1.553084372898e+04 
       3.987403410981e-02       1.545664915622e+04 
       4.006949854080e-02       1.538263715796e+04 
       4.026696699980e-02       1.530850553600e+04 
       4.046651981397e-02       1.523441054326e+04 
       4.066824174824e-02       1.516027924766e+04 
       4.087222233088e-02       1.508621312966e+04 
       4.107855620902e-02       1.501206740609e+04 
       4.128734353767e-02       1.493762410595e+04 
       4.149869040587e-02       1.486350871134e+04 
       4.171270930433e-02       1.478918745879e+04 
       4.192951963951e-02       1.471492598407e+04 
       4.214924829956e-02       1.464055225573e+04 
       4.237203027853e-02       1.456601373269e+04 
       4.259800936617e-02       1.449155422384e+04 
       4.282733891146e-02       1.441689413307e+04 
       4.306018266955e-02       1.434214001492e+04 
       4.329671574311e-02       1.426732885745e+04 
       4.353712563067e-02       1.419258126692e+04 
       4.378161339674e-02       1.411744993467e+04 
       4.403039498090e-02       1.404197801374e+04 
       4.428370266542e-02       1.396646520483e+04 
       4.454178672511e-02       1.389082828375e+04 
       4.480491728619e-02       1.381492678618e+04 
       4.507338642648e-02       1.373883414553e+04 
       4.534751055460e-02       1.366247369419e+04 
       4.562763311281e-02       1.358588243602e+04 
       4.591412765656e-02       1.350896813019e+04 
       4.620740137416e-02       1.343156373071e+04 
       4.650789912206e-02       1.335401789312e+04 
       4.681610806681e-02       1.327632548646e+04 
       4.713256304325e-02       1.319804847454e+04 
       4.745785276177e-02       1.311884166996e+04 
       4.779262702589e-02       1.303968924645e+04 
       4.813760515749e-02       1.295955057904e+04 
       4.849358587116e-02       1.287890782106e+04 
       4.886145889551e-02       1.279763744984e+04 
       4.924221870971e-02       1.271576991232e+04 
       4.963698085278e-02       1.263285901826e+04 
       5.004700137647e-02       1.254972814661e+04 
       5.047370015656e-02       1.246459119044e+04 
       5.091868896123e-02       1.237882929023e+04 
       5.138380540906e-02       1.229180108198e+04 
       5.187115424708e-02       1.220409603827e+04 
       5.238315775705e-02       1.211406098870e+04 
       5.292261757128e-02       1.202286819981e+04 
       5.349279076425e-02       1.192950071283e+04 
       5.409748378617e-02       1.183396935280e+04 
       5.474116859746e-02       1.173562899215e+04 
       5.542912616527e-02       1.163441799313e+04 
       5.616762307707e-02       1.152995001333e+04 
       5.696412692793e-02       1.142089723688e+04 
       5.782756434085e-02       1.130686329237e+04 
       5.876861999985e-02       1.118665410036e+04 
       5.980006221617e-02       1.105940540776e+04 
       6.093705389683e-02       1.092128154157e+04 
       6.219735751136e-02       1.077172541511e+04 
       6.360125735279e-02       1.060618204510e+04 
       6.517089963672e-02       1.041955082617e+04 
       6.692862829230e-02       1.020667532367e+04 
       6.889390711157e-02       9.960294584489e+03 
       7.107883611293e-02       9.673063398775e+03 
       7.348331590416e-02       9.339109250469e+03 
       7.609218235590e-02       8.957394820281e+03 
       7.887668311828e-02       8.531322340473e+03 
       8.180038549950e-02       8.071807621457e+03 
       8.482661640111e-02       7.595200689677e+03 
       8.792396376094e-02       7.120570841297e+03 
       9.106846495333e-02       6.665774273277e+03 
       9.424325933782e-02       6.245648043985e+03 
       9.743711044576e-02       5.870693623142e+03 
       1.006427897517e-01       5.546426458000e+03 
       1.038557500762e-01       5.273660720423e+03 
       1.070731705968e-01       5.049353949389e+03 
       1.102933163484e-01       4.867300314675e+03 
       1.135151257316e-01       4.719301262528e+03 
       1.167379511369e-01       4.595870234643e+03 
       1.199613981580e-01       4.487245451718e+03 
       1.231852267699e-01       4.383899536691e+03 
       1.264092909040e-01       4.278073518095e+03 
       1.296335016157e-01       4.163866958826e+03 
       1.328578046745e-01       4.037936273778e+03 
       1.360821669430e-01       3.898785506613e+03 
       1.393065681049e-01       3.747820419523e+03 
       1.425309956405e-01       3.588552201564e+03 
       1.457554417770e-01       3.425298078349e+03 
       1.489799016358e-01       3.263067429591e+03 
       1.522043721075e-01       3.106619198534e+03 
       1.554288511676e-01       2.960233534465e+03 
       1.586533374610e-01       2.827136611608e+03 
       1.618778300479e-01       2.709159920379e+03 
       1.651023282500e-01       2.607059323552e+03 
       1.683268315550e-01       2.520392957471e+03 
       1.715513395590e-01       2.447631340328e+03 
       1.747758519307e-01       2.386443583526e+03 
       1.780003683886e-01       2.334078934227e+03 
       1.812248886871e-01       2.287659599324e+03 
       1.844494126074e-01       2.244437653488e+03 
       1.876739399519e-01       2.201749661324e+03 
       1.908984705398e-01       2.157114138012e+03 
       1.941230042048e-01       2.108902923019e+03 
       1.973475407926e-01       2.056385409677e+03 
       2.005720801598e-01       1.999367753089e+03 
       2.037966221727e-01       1.938668368026e+03 
       2.070211667063e-01       1.875454536289e+03 
       2.102457136433e-01       1.811433409809e+03 
       2.134702628740e-01       1.748194223537e+03 
       2.166948142950e-01       1.687160319179e+03 
       2.199193678092e-01       1.629478142151e+03 
       2.231439233252e-01       1.576138748935e+03 
       2.263684807568e-01       1.527556926278e+03 
       2.295930400227e-01       1.484118647179e+03 
       2.328176010462e-01       1.445577813793e+03 
       2.360421637547e-01       1.411649829499e+03 
       2.392667280798e-01       1.381558631638e+03 
       2.424912939564e-01       1.354606970500e+03 
       2.457158613230e-01       1.329702727331e+03 
       2.489404301215e-01       1.305978222862e+03 
       2.521650002964e-01       1.282599141325e+03 
       2.553895717954e-01       1.258715216895e+03 
       2.586141445687e-01       1.234037568771e+03 
       2.618387185688e-01       1.208297706104e+03 
       2.650632937507e-01       1.181405240955e+03 
       2.682878700715e-01       1.153496874319e+03 
       2.715124474905e-01       1.124908352217e+03 
       2.747370259687e-01       1.096001033801e+03 
       2.779616054690e-01       1.067295756413e+03 
       2.811861859562e-01       1.039222839458e+03 
       2.844107673964e-01       1.012245352291e+03 
       2.876353497573e-01       9.867790227698e+02 
       2.908599330083e-01       9.630141955441e+02 
       2.940845171199e-01       9.410600618587e+02 
       2.973091020639e-01       9.208601519942e+02 
       3.005336878134e-01       9.023156819197e+02 
       3.037582743426e-01       8.851654678148e+02 
       3.069828616268e-01       8.691268102052e+02 
       3.102074496423e-01       8.539739639834e+02 
       3.134320383665e-01       8.394673812067e+02 
       3.166566277775e-01       8.252127910081e+02 
       3.198812178546e-01       8.111030691317e+02 
       3.231058085777e-01       7.969288778827e+02 
       3.263303999274e-01       7.824835463322e+02 
       3.295549918854e-01       7.678574184082e+02 
       3.327795844339e-01       7.529601652480e+02 
       3.360041775558e-01       7.379762767491e+02 
       3.392287712347e-01       7.230234157841e+02 
       3.424533654547e-01       7.081663709464e+02 
       3.456779602007e-01       6.936264835381e+02 
       3.489025554579e-01       6.794840403084e+02 
       3.521271512124e-01       6.658764532747e+02 
       3.553517474504e-01       6.528119194910e+02 
       3.585763441589e-01       6.404166581973e+02 
       3.618009413253e-01       6.286485822487e+02 
       3.650255389373e-01       6.175176362195e+02 
       3.682501369833e-01       6.069826518135e+02 
       3.714747354517e-01       5.969585349842e+02 
       3.746993343318e-01       5.873207683113e+02 
       3.779239336129e-01       5.779910984401e+02 
       3.811485332848e-01       5.688650670208e+02 
       3.843731333377e-01       5.598804719546e+02 
