Redshift,GR_Density,TCWT_Density
2.884884884884884926e+01,1.098346604964990231e-01,1.800009691765651620e-01
2.882382382382382247e+01,1.098433061563308250e-01,1.799737017733682720e-01
2.879879879879879923e+01,1.098519670196698855e-01,1.799462098670756571e-01
2.877377377377377243e+01,1.098606431266278549e-01,1.799184925244287914e-01
2.874874874874874919e+01,1.098693345174575065e-01,1.798905488085381643e-01
2.872372372372372240e+01,1.098780412325534028e-01,1.798623777788707356e-01
2.869869869869869916e+01,1.098867633124524928e-01,1.798339784912376393e-01
2.867367367367367237e+01,1.098955007978346804e-01,1.798053499977814718e-01
2.864864864864864913e+01,1.099042537295235600e-01,1.797764913469640513e-01
2.862362362362362234e+01,1.099130221484869580e-01,1.797474015835536787e-01
2.859859859859859910e+01,1.099218060958376680e-01,1.797180797486127024e-01
2.857357357357357230e+01,1.099306056128339926e-01,1.796885248794850842e-01
2.854854854854854906e+01,1.099394207408804225e-01,1.796587360097836039e-01
2.852352352352352227e+01,1.099482515215283451e-01,1.796287121693775080e-01
2.849849849849849903e+01,1.099570979964765993e-01,1.795984523843797698e-01
2.847347347347347224e+01,1.099659602075721693e-01,1.795679556771345442e-01
2.844844844844844900e+01,1.099748381968108646e-01,1.795372210662045664e-01
2.842342342342342221e+01,1.099837320063379864e-01,1.795062475663585233e-01
2.839839839839839897e+01,1.099926416784489103e-01,1.794750341885583689e-01
2.837337337337337217e+01,1.100015672555898771e-01,1.794435799399468068e-01
2.834834834834834894e+01,1.100105087803585624e-01,1.794118838238343283e-01
2.832332332332332214e+01,1.100194662955048391e-01,1.793799448396870833e-01
2.829829829829829890e+01,1.100284398439313471e-01,1.793477619831134739e-01
2.827327327327327211e+01,1.100374294686942839e-01,1.793153342458521093e-01
2.824824824824824887e+01,1.100464352130040152e-01,1.792826606157587599e-01
2.822322322322322208e+01,1.100554571202258664e-01,1.792497400767937565e-01
2.819819819819819884e+01,1.100644952338806909e-01,1.792165716090092509e-01
2.817317317317317205e+01,1.100735495976456202e-01,1.791831541885364198e-01
2.814814814814814881e+01,1.100826202553547850e-01,1.791494867875729202e-01
2.812312312312312201e+01,1.100917072510000372e-01,1.791155683743699822e-01
2.809809809809809877e+01,1.101008106287315880e-01,1.790813979132196976e-01
2.807307307307307198e+01,1.101099304328587714e-01,1.790469743644423350e-01
2.804804804804804874e+01,1.101190667078507657e-01,1.790122966843735175e-01
2.802302302302302195e+01,1.101282194983373153e-01,1.789773638253515098e-01
2.799799799799799871e+01,1.101373888491093550e-01,1.789421747357044512e-01
2.797297297297297192e+01,1.101465748051199400e-01,1.789067283597375324e-01
2.794794794794794868e+01,1.101557774114848010e-01,1.788710236377203944e-01
2.792292292292292188e+01,1.101649967134831209e-01,1.788350595058741110e-01
2.789789789789789864e+01,1.101742327565583546e-01,1.787988348963586160e-01
2.787287287287287185e+01,1.101834855863188800e-01,1.787623487372598796e-01
2.784784784784784861e+01,1.101927552485387762e-01,1.787255999525771133e-01
2.782282282282282182e+01,1.102020417891586279e-01,1.786885874622100856e-01
2.779779779779779858e+01,1.102113452542861638e-01,1.786513101819461879e-01
2.777277277277277179e+01,1.102206656901971726e-01,1.786137670234479446e-01
2.774774774774774855e+01,1.102300031433361138e-01,1.785759568942398845e-01
2.772272272272272176e+01,1.102393576603170333e-01,1.785378786976961618e-01
2.769769769769769852e+01,1.102487292879241743e-01,1.784995313330275668e-01
2.767267267267267172e+01,1.102581180731129207e-01,1.784609136952688413e-01
2.764764764764764848e+01,1.102675240630105052e-01,1.784220246752660222e-01
2.762262262262262169e+01,1.102769473049166893e-01,1.783828631596634795e-01
2.759759759759759845e+01,1.102863878463048036e-01,1.783434280308915376e-01
2.757257257257257166e+01,1.102958457348222759e-01,1.783037181671534022e-01
2.754754754754754842e+01,1.103053210182916022e-01,1.782637324424127534e-01
2.752252252252252163e+01,1.103148137447111377e-01,1.782234697263808676e-01
2.749749749749749839e+01,1.103243239622558047e-01,1.781829288845039605e-01
2.747247247247247159e+01,1.103338517192779672e-01,1.781421087779505308e-01
2.744744744744744835e+01,1.103433970643082906e-01,1.781010082635988145e-01
2.742242242242242156e+01,1.103529600460565335e-01,1.780596261940239067e-01
2.739739739739739832e+01,1.103625407134122965e-01,1.780179614174853264e-01
2.737237237237237153e+01,1.103721391154459525e-01,1.779760127779142498e-01
2.734734734734734829e+01,1.103817553014094649e-01,1.779337791149011305e-01
2.732232232232232150e+01,1.103913893207372071e-01,1.778912592636828771e-01
2.729729729729729826e+01,1.104010412230467530e-01,1.778484520551303349e-01
2.727227227227227146e+01,1.104107110581398765e-01,1.778053563157359629e-01
2.724724724724724823e+01,1.104203988760032451e-01,1.777619708676009824e-01
2.722222222222222143e+01,1.104301047268093500e-01,1.777182945284231375e-01
2.719719719719719819e+01,1.104398286609174495e-01,1.776743261114840378e-01
2.717217217217217140e+01,1.104495707288742079e-01,1.776300644256367800e-01
2.714714714714714816e+01,1.104593309814148744e-01,1.775855082752936243e-01
2.712212212212212137e+01,1.104691094694638942e-01,1.775406564604132820e-01
2.709709709709709813e+01,1.104789062441359215e-01,1.774955077764888700e-01
2.707207207207207134e+01,1.104887213567367354e-01,1.774500610145353097e-01
2.704704704704704810e+01,1.104985548587640171e-01,1.774043149610772252e-01
2.702202202202202130e+01,1.105084068019083765e-01,1.773582683981363428e-01
2.699699699699699806e+01,1.105182772380541023e-01,1.773119201032195558e-01
2.697197197197197127e+01,1.105281662192802855e-01,1.772652688493065176e-01
2.694694694694694803e+01,1.105380737978615135e-01,1.772183134048374020e-01
2.692192192192192124e+01,1.105480000262689250e-01,1.771710525337008846e-01
2.689689689689689800e+01,1.105579449571710837e-01,1.771234849952219026e-01
2.687187187187187121e+01,1.105679086434349090e-01,1.770756095441495814e-01
2.684684684684684797e+01,1.105778911381266189e-01,1.770274249306452163e-01
2.682182182182182117e+01,1.105878924945126740e-01,1.769789299002702265e-01
2.679679679679679793e+01,1.105979127660607353e-01,1.769301231939742203e-01
2.677177177177177114e+01,1.106079520064405242e-01,1.768810035480829490e-01
2.674674674674674790e+01,1.106180102695249190e-01,1.768315696942866500e-01
2.672172172172172111e+01,1.106280876093908294e-01,1.767818203596279170e-01
2.669669669669669787e+01,1.106381840803201816e-01,1.767317542664901819e-01
2.667167167167167108e+01,1.106482997368008481e-01,1.766813701325856967e-01
2.664664664664664784e+01,1.106584346335277025e-01,1.766306666709440698e-01
2.662162162162162105e+01,1.106685888254035355e-01,1.765796425899004152e-01
2.659659659659659781e+01,1.106787623675401094e-01,1.765282965930839720e-01
2.657157157157157101e+01,1.106889553152591160e-01,1.764766273794063367e-01
2.654654654654654777e+01,1.106991677240931060e-01,1.764246336430501105e-01
2.652152152152152098e+01,1.107093996497866134e-01,1.763723140734574646e-01
2.649649649649649774e+01,1.107196511482971268e-01,1.763196673553186489e-01
2.647147147147147095e+01,1.107299222757960888e-01,1.762666921685608068e-01
2.644644644644644771e+01,1.107402130886698810e-01,1.762133871883366509e-01
2.642142142142142092e+01,1.107505236435209900e-01,1.761597510850133330e-01
2.639639639639639768e+01,1.107608539971688677e-01,1.761057825241612029e-01
2.637137137137137088e+01,1.107712042066510555e-01,1.760514801665427898e-01
2.634634634634634764e+01,1.107815743292243083e-01,1.759968426681019216e-01
2.632132132132132085e+01,1.107919644223654826e-01,1.759418686799526510e-01
2.629629629629629761e+01,1.108023745437727303e-01,1.758865568483684583e-01
2.627127127127127082e+01,1.108128047513664838e-01,1.758309058147713988e-01
2.624624624624624403e+01,1.108232551032905938e-01,1.757749142157215561e-01
2.622122122122122079e+01,1.108337256579133012e-01,1.757185806829062447e-01
2.619619619619619755e+01,1.108442164738284996e-01,1.756619038431295743e-01
2.617117117117117076e+01,1.108547276098566237e-01,1.756048823183018193e-01
2.614614614614614396e+01,1.108652591250458563e-01,1.755475147254292601e-01
2.612112112112112072e+01,1.108758110786732254e-01,1.754897996766036639e-01
2.609609609609609748e+01,1.108863835302456996e-01,1.754317357789921816e-01
2.607107107107107069e+01,1.108969765395012852e-01,1.753733216348271062e-01
2.604604604604604390e+01,1.109075901664101915e-01,1.753145558413959360e-01
2.602102102102102066e+01,1.109182244711758997e-01,1.752554369910314380e-01
2.599599599599599742e+01,1.109288795142363421e-01,1.751959636711016011e-01
2.597097097097097063e+01,1.109395553562650544e-01,1.751361344640000872e-01
2.594594594594594383e+01,1.109502520581722440e-01,1.750759479471363789e-01
2.592092092092092059e+01,1.109609696811060808e-01,1.750154026929265083e-01
2.589589589589589735e+01,1.109717082864537102e-01,1.749544972687831490e-01
2.587087087087087056e+01,1.109824679358425437e-01,1.748932302371066227e-01
2.584584584584584377e+01,1.109932486911413413e-01,1.748316001552754351e-01
2.582082082082082053e+01,1.110040506144614192e-01,1.747696055756373656e-01
2.579579579579579729e+01,1.110148737681579539e-01,1.747072450455001702e-01
2.577077077077077050e+01,1.110257182148309402e-01,1.746445171071226987e-01
2.574574574574574370e+01,1.110365840173266616e-01,1.745814202977064022e-01
2.572072072072072046e+01,1.110474712387386487e-01,1.745179531493861180e-01
2.569569569569569722e+01,1.110583799424091356e-01,1.744541141892220759e-01
2.567067067067067043e+01,1.110693101919300596e-01,1.743899019391908223e-01
2.564564564564564364e+01,1.110802620511444766e-01,1.743253149161775872e-01
2.562062062062062040e+01,1.110912355841477128e-01,1.742603516319676249e-01
2.559559559559559716e+01,1.111022308552886140e-01,1.741950105932382753e-01
2.557057057057057037e+01,1.111132479291707942e-01,1.741292903015510540e-01
2.554554554554554358e+01,1.111242868706538989e-01,1.740631892533437974e-01
2.552052052052052034e+01,1.111353477448549648e-01,1.739967059399232241e-01
2.549549549549549710e+01,1.111464306171495303e-01,1.739298388474571078e-01
2.547047047047047030e+01,1.111575355531730508e-01,1.738625864569671720e-01
2.544544544544544351e+01,1.111686626188221338e-01,1.737949472443217624e-01
2.542042042042042027e+01,1.111798118802558299e-01,1.737269196802287141e-01
2.539539539539539703e+01,1.111909834038969924e-01,1.736585022302286063e-01
2.537037037037037024e+01,1.112021772564336097e-01,1.735896933546877963e-01
2.534534534534534345e+01,1.112133935048199157e-01,1.735204915087919797e-01
2.532032032032032021e+01,1.112246322162780826e-01,1.734508951425396683e-01
2.529529529529529697e+01,1.112358934582991926e-01,1.733809027007358616e-01
2.527027027027027017e+01,1.112471772986448615e-01,1.733105126229860793e-01
2.524524524524524338e+01,1.112584838053484182e-01,1.732397233436902551e-01
2.522022022022022014e+01,1.112698130467164037e-01,1.731685332920371301e-01
2.519519519519519690e+01,1.112811650913297923e-01,1.730969408919985075e-01
2.517017017017017011e+01,1.112925400080455041e-01,1.730249445623239235e-01
2.514514514514514332e+01,1.113039378659977097e-01,1.729525427165354012e-01
2.512012012012012008e+01,1.113153587345992873e-01,1.728797337629223996e-01
2.509509509509509684e+01,1.113268026835431412e-01,1.728065161045369835e-01
2.507007007007007005e+01,1.113382697828037282e-01,1.727328881391891335e-01
2.504504504504504325e+01,1.113497601026384037e-01,1.726588482594423046e-01
2.502002002002002001e+01,1.113612737135888375e-01,1.725843948526091243e-01
2.499499499499499677e+01,1.113728106864825262e-01,1.725095263007473956e-01
2.496996996996996998e+01,1.113843710924341535e-01,1.724342409806561560e-01
2.494494494494494319e+01,1.113959550028471440e-01,1.723585372638721247e-01
2.491991991991991995e+01,1.114075624894150240e-01,1.722824135166662884e-01
2.489489489489489671e+01,1.114191936241229614e-01,1.722058681000404878e-01
2.486986986986986992e+01,1.114308484792492504e-01,1.721288993697246972e-01
2.484484484484484312e+01,1.114425271273667833e-01,1.720515056761741102e-01
2.481981981981981988e+01,1.114542296413445488e-01,1.719736853645666974e-01
2.479479479479479664e+01,1.114659560943491307e-01,1.718954367748007361e-01
2.476976976976976985e+01,1.114777065598463041e-01,1.718167582414929229e-01
2.474474474474474306e+01,1.114894811116024509e-01,1.717376480939765693e-01
2.471971971971971982e+01,1.115012798236861419e-01,1.716581046562998536e-01
2.469469469469469658e+01,1.115131027704698019e-01,1.715781262472246271e-01
2.466966966966966979e+01,1.115249500266310423e-01,1.714977111802253318e-01
2.464464464464464299e+01,1.115368216671543816e-01,1.714168577634881674e-01
2.461961961961961975e+01,1.115487177673328278e-01,1.713355642999105921e-01
2.459459459459459296e+01,1.115606384027694048e-01,1.712538290871008784e-01
2.456956956956956972e+01,1.115725836493787482e-01,1.711716504173783904e-01
2.454454454454454293e+01,1.115845535833887570e-01,1.710890265777735286e-01
2.451951951951951969e+01,1.115965482813421616e-01,1.710059558500285626e-01
2.449449449449449290e+01,1.116085678200982312e-01,1.709224365105982968e-01
2.446946946946946966e+01,1.116206122768342718e-01,1.708384668306511811e-01
2.444444444444444287e+01,1.116326817290473755e-01,1.707540450760707540e-01
2.441941941941941963e+01,1.116447762545561134e-01,1.706691695074575854e-01
2.439439439439439283e+01,1.116568959315020759e-01,1.705838383801308866e-01
2.436936936936936959e+01,1.116690408383516353e-01,1.704980499441310915e-01
2.434434434434434280e+01,1.116812110538975972e-01,1.704118024442224655e-01
2.431931931931931956e+01,1.116934066572609768e-01,1.703250941198961865e-01
2.429429429429429277e+01,1.117056277278925952e-01,1.702379232053733704e-01
2.426926926926926953e+01,1.117178743455748413e-01,1.701502879296089010e-01
2.424424424424424274e+01,1.117301465904234209e-01,1.700621865162952051e-01
2.421921921921921950e+01,1.117424445428891328e-01,1.699736171838668597e-01
2.419419419419419270e+01,1.117547682837595202e-01,1.698845781455048387e-01
2.416916916916916946e+01,1.117671178941607446e-01,1.697950676091418143e-01
2.414414414414414267e+01,1.117794934555592090e-01,1.697050837774672916e-01
2.411911911911911943e+01,1.117918950497635289e-01,1.696146248479334651e-01
2.409409409409409264e+01,1.118043227589262112e-01,1.695236890127612694e-01
2.406906906906906940e+01,1.118167766655454448e-01,1.694322744589466523e-01
2.404404404404404261e+01,1.118292568524670572e-01,1.693403793682678460e-01
2.401901901901901937e+01,1.118417634028861518e-01,1.692480019172920014e-01
2.399399399399399258e+01,1.118542964003491208e-01,1.691551402773832369e-01
2.396896896896896934e+01,1.118668559287553932e-01,1.690617926147105488e-01
2.394394394394394254e+01,1.118794420723592947e-01,1.689679570902560268e-01
2.391891891891891930e+01,1.118920549157720878e-01,1.688736318598239583e-01
2.389389389389389251e+01,1.119046945439635954e-01,1.687788150740498483e-01
2.386886886886886927e+01,1.119173610422643378e-01,1.686835048784102176e-01
2.384384384384384248e+01,1.119300544963673372e-01,1.685876994132326501e-01
2.381881881881881924e+01,1.119427749923300186e-01,1.684913968137062013e-01
2.379379379379379245e+01,1.119555226165762224e-01,1.683945952098925836e-01
2.376876876876876921e+01,1.119682974558981192e-01,1.682972927267374907e-01
2.374374374374374241e+01,1.119810995974581530e-01,1.681994874840823384e-01
2.371871871871871917e+01,1.119939291287910810e-01,1.681011775966768373e-01
2.369369369369369238e+01,1.120067861378058610e-01,1.680023611741915945e-01
2.366866866866866914e+01,1.120196707127877611e-01,1.679030363212316024e-01
2.364364364364364235e+01,1.120325829424002606e-01,1.678032011373497001e-01
2.361861861861861911e+01,1.120455229156872012e-01,1.677028537170612843e-01
2.359359359359359232e+01,1.120584907220747023e-01,1.676019921498585474e-01
2.356856856856856908e+01,1.120714864513733117e-01,1.675006145202262986e-01
2.354354354354354228e+01,1.120845101937800181e-01,1.673987189076571180e-01
2.351851851851851904e+01,1.120975620398803330e-01,1.672963033866683713e-01
2.349349349349349225e+01,1.121106420806504272e-01,1.671933660268184185e-01
2.346846846846846901e+01,1.121237504074591995e-01,1.670899048927243502e-01
2.344344344344344222e+01,1.121368871120703298e-01,1.669859180440797231e-01
2.341841841841841898e+01,1.121500522866445693e-01,1.668814035356731562e-01
2.339339339339339219e+01,1.121632460237417805e-01,1.667763594174072883e-01
2.336836836836836895e+01,1.121764684163231024e-01,1.666707837343184839e-01
2.334334334334334216e+01,1.121897195577531287e-01,1.665646745265967898e-01
2.331831831831831892e+01,1.122029995418021564e-01,1.664580298296070016e-01
2.329329329329329212e+01,1.122163084626483232e-01,1.663508476739097297e-01
2.326826826826826888e+01,1.122296464148798273e-01,1.662431260852836046e-01
2.324324324324324209e+01,1.122430134934972179e-01,1.661348630847477303e-01
2.321821821821821885e+01,1.122564097939155459e-01,1.660260566885850275e-01
2.319319319319319206e+01,1.122698354119667369e-01,1.659167049083657974e-01
2.316816816816816882e+01,1.122832904439018259e-01,1.658068057509724802e-01
2.314314314314314203e+01,1.122967749863931497e-01,1.656963572186246347e-01
2.311811811811811879e+01,1.123102891365368311e-01,1.655853573089048347e-01
2.309309309309309199e+01,1.123238329918549855e-01,1.654738040147849809e-01
2.306806806806806875e+01,1.123374066502980384e-01,1.653616953246534738e-01
2.304304304304304196e+01,1.123510102102472097e-01,1.652490292223431356e-01
2.301801801801801872e+01,1.123646437705166784e-01,1.651358036871596324e-01
